species_id,full_species,species,genus,family,epithet,author,unmatched_terms,iucn_status
20,Trifolium fragiferum L.,Trifolium fragiferum,Trifolium,Fabaceae,fragiferum,L.,,Not assessed
21,Asystasia gangetica (L.) T.Anderson,Asystasia gangetica,Asystasia,Acanthaceae,gangetica,(L.) T.Anderson,,Not assessed
22,Nymphaea nouchali Burm.f.,Nymphaea nouchali,Nymphaea,Nymphaeaceae,nouchali,Burm.f.,,LC
23,Dryopteris aemula (Aiton) Kuntze,Dryopteris aemula,Dryopteris,Dryopteridaceae,aemula,(Aiton) Kuntze,,LC
24,Dryopteris affinis (Lowe) Fraser-Jenk.,Dryopteris affinis,Dryopteris,Dryopteridaceae,affinis,(Lowe) Fraser-Jenk.,,LC
25,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas,Dryopteris,Dryopteridaceae,filix-mas,(L.) Schott,,LC
26,Nephrolepis cordifolia (L.) C.Presl,Nephrolepis cordifolia,Nephrolepis,Nephrolepidaceae,cordifolia,(L.) C.Presl,,Not assessed
27,Nephrolepis exaltata (L.) Schott,Nephrolepis exaltata,Nephrolepis,Nephrolepidaceae,exaltata,(L.) Schott,,LC
28,Osmunda regalis L.,Osmunda regalis,Osmunda,Osmundaceae,regalis,L.,,LC
29,Achyranthes aspera L.,Achyranthes aspera,Achyranthes,Amaranthaceae,aspera,L.,,Not assessed
30,Lithodora fruticosa (L.) Griseb.,Lithodora fruticosa,Lithodora,Boraginaceae,fruticosa,(L.) Griseb.,,Not assessed
31,Humulus lupulus L.,Humulus lupulus,Humulus,Cannabaceae,lupulus,L.,,LC
32,Gypsophila vaccaria (L.) Sm.,Gypsophila vaccaria,Gypsophila,Caryophyllaceae,hispanica,(L.) Sm.,,Not assessed
33,Spergularia rubra (L.) J.Presl & C.Presl,Spergularia rubra,Spergularia,Caryophyllaceae,rubra,(L.) J.Presl & C.Presl,,Not assessed
34,Moehringia trinervia (L.) Clairv.,Moehringia trinervia,Moehringia,Caryophyllaceae,trinervia,(L.) Clairv.,,Not assessed
35,Calendula officinalis L.,Calendula officinalis,Calendula,Asteraceae,officinalis,L.,,Not assessed
36,Calendula stellata Cav.,Calendula stellata,Calendula,Asteraceae,stellata,Cav.,,Not assessed
37,Carthamus caeruleus L.,Carthamus caeruleus,Carthamus,Asteraceae,caeruleus,L.,,Not assessed
38,Phonus lanatus (L.) Hill,Phonus lanatus,Phonus,Asteraceae,lanatus,(L.) Hill,,Not assessed
39,Cirsium monspessulanum (L.) Hill.,Cirsium monspessulanum,Cirsium,Asteraceae,monspessulanum,(L.) Hill.,,Not assessed
40,Helminthotheca echioides (L.) Holub,Helminthotheca echioides,Helminthotheca,Asteraceae,echioides,(L.) Holub,,Not assessed
41,Hyoseris radiata L.,Hyoseris radiata,Hyoseris,Asteraceae,radiata,L.,,Not assessed
42,Lactuca muralis (L.) Gaertn.,Lactuca muralis,Lactuca,Asteraceae,muralis,(L.) Gaertn.,,LC
43,Lactuca saligna L.,Lactuca saligna,Lactuca,Asteraceae,saligna,L.,,LC
44,Lactuca tenerrima Pourr.,Lactuca tenerrima,Lactuca,Asteraceae,tenerrima,Pourr.,,LC
45,Limbarda crithmoides (L.) Dumort.,Limbarda crithmoides,Limbarda,Asteraceae,crithmoides,(L.) Dumort.,,Not assessed
46,Sedum acre L.,Sedum acre,Sedum,Crassulaceae,acre,L.,,LC
47,Sedum album L.,Sedum album,Sedum,Crassulaceae,album,L.,,Not assessed
48,Petrosedum amplexicaule (DC.) Velayos,Petrosedum amplexicaule,Petrosedum,Crassulaceae,amplexicaule,(DC.) Velayos,,Not assessed
49,Sedum andegavense (DC.) Desv.,Sedum andegavense,Sedum,Crassulaceae,andegavense,(DC.) Desv.,,Not assessed
50,Sedum brevifolium DC.,Sedum brevifolium,Sedum,Crassulaceae,brevifolium,DC.,,Not assessed
51,Sedum caeruleum L.,Sedum caeruleum,Sedum,Crassulaceae,caeruleum,L.,,Not assessed
52,Sedum cespitosum (Cav.) DC.,Sedum cespitosum,Sedum,Crassulaceae,cespitosum,(Cav.) DC.,,Not assessed
53,Sedum cepaea L.,Sedum cepaea,Sedum,Crassulaceae,cepaea,L.,,Not assessed
54,Sedum dasyphyllum L.,Sedum dasyphyllum,Sedum,Crassulaceae,dasyphyllum,L.,,Not assessed
55,Petrosedum forsterianum (Sm.) Grulich,Petrosedum forsterianum,Petrosedum,Crassulaceae,forsterianum,(Sm.) Grulich,,Not assessed
56,Sedum hirsutum All.,Sedum hirsutum,Sedum,Crassulaceae,hirsutum,All.,,Not assessed
57,Sedum litoreum Guss.,Sedum litoreum,Sedum,Crassulaceae,litoreum,Guss.,,Not assessed
58,Sedum multiceps Coss. & Durieu,Sedum multiceps,Sedum,Crassulaceae,multiceps,Coss. & Durieu,,Not assessed
59,Sedum rubens L.,Sedum rubens,Sedum,Crassulaceae,rubens,L.,,Not assessed
60,Petrosedum sediforme (Jacq.) Grulich,Petrosedum sediforme,Petrosedum,Crassulaceae,sediforme,(Jacq.) Grulich,,Not assessed
61,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,Alliaria,Brassicaceae,petiolata,(M.Bieb.) Cavara & Grande,,Not assessed
62,Boscia integrifolia J.St.-Hil.,Boscia integrifolia,Boscia,Capparaceae,angustifolia,J.St.-Hil.,,LC
63,Fibigia clypeata (L.) Medik.,Fibigia clypeata,Fibigia,Brassicaceae,clypeata,(L.) Medik.,,Not assessed
64,Maerua angolensis DC.,Maerua angolensis,Maerua,Capparaceae,angolensis,DC.,,LC
65,Acalypha virginica L.,Acalypha virginica,Acalypha,Euphorbiaceae,virginica,L.,,Not assessed
66,Mercurialis perennis L.,Mercurialis perennis,Mercurialis,Euphorbiaceae,perennis,L.,,Not assessed
67,Phyllanthus reticulatus Poir.,Phyllanthus reticulatus,Phyllanthus,Phyllanthaceae,reticulatus,Poir.,,LC
68,Hypericum androsaemum L.,Hypericum androsaemum,Hypericum,Hypericaceae,androsaemum,L.,,Not assessed
69,Hypericum australe Ten.,Hypericum australe,Hypericum,Hypericaceae,australe,Ten.,,Not assessed
70,Hypericum canariense L.,Hypericum canariense,Hypericum,Hypericaceae,canariense,L.,,LC
71,Hypericum empetrifolium Willd.,Hypericum empetrifolium,Hypericum,Hypericaceae,empetrifolium,Willd.,,Not assessed
72,Hypericum hircinum L.,Hypericum hircinum,Hypericum,Hypericaceae,hircinum,L.,,Not assessed
73,Hypericum hirsutum L.,Hypericum hirsutum,Hypericum,Hypericaceae,hirsutum,L.,,Not assessed
74,Hypericum humifusum L.,Hypericum humifusum,Hypericum,Hypericaceae,humifusum,L.,,Not assessed
75,Hypericum linariifolium Vahl,Hypericum linariifolium,Hypericum,Hypericaceae,linariifolium,Vahl,,Not assessed
76,Hypericum montanum L.,Hypericum montanum,Hypericum,Hypericaceae,montanum,L.,,Not assessed
77,Hypericum perfoliatum L.,Hypericum perfoliatum,Hypericum,Hypericaceae,perfoliatum,L.,,Not assessed
78,Hypericum tetrapterum Fr.,Hypericum tetrapterum,Hypericum,Hypericaceae,tetrapterum,Fr.,,Not assessed
79,Hypericum tomentosum L.,Hypericum tomentosum,Hypericum,Hypericaceae,tomentosum,L.,,Not assessed
80,Lamium bifidum Cirillo,Lamium bifidum,Lamium,Lamiaceae,bifidum,Cirillo,,Not assessed
81,Lamium flexuosum Ten.,Lamium flexuosum,Lamium,Lamiaceae,flexuosum,Ten.,,Not assessed
82,Lamium garganicum L.,Lamium garganicum,Lamium,Lamiaceae,garganicum,L.,,Not assessed
83,Lamium hybridum Vill.,Lamium hybridum,Lamium,Lamiaceae,hybridum,Vill.,,Not assessed
84,Lamium purpureum L.,Lamium purpureum,Lamium,Lamiaceae,purpureum,L.,,Not assessed
85,Lavandula canariensis Mill.,Lavandula canariensis,Lavandula,Lamiaceae,canariensis,Mill.,,Not assessed
86,Lavandula minutolii Bolle,Lavandula minutolii,Lavandula,Lamiaceae,minutolii,Bolle,,Not assessed
87,Lavandula multifida L.,Lavandula multifida,Lavandula,Lamiaceae,multifida,L.,,Not assessed
88,Lavandula stoechas L.,Lavandula stoechas,Lavandula,Lamiaceae,stoechas,L.,,Not assessed
89,Senegalia mellifera (Vahl) Seigler & Ebinger,Senegalia mellifera,Senegalia,Fabaceae,mellifera,(Vahl) Seigler & Ebinger,,LC
90,Vachellia seyal (Delile) P.J.H.Hurter,Vachellia seyal,Vachellia,Fabaceae,seyal,(Delile) P.J.H.Hurter,,LC
91,Vachellia tortilis (Forssk.) Galasso & Banfi,Vachellia tortilis,Vachellia,Fabaceae,tortilis,(Forssk.) Galasso & Banfi,,LC
92,Galega officinalis L.,Galega officinalis,Galega,Fabaceae,officinalis,L.,,LC
93,Lupinus cosentinii Guss.,Lupinus cosentinii,Lupinus,Fabaceae,cosentinii,Guss.,,LC
94,Lupinus gussoneanus J.Agardh,Lupinus gussoneanus,Lupinus,Fabaceae,micranthus,J.Agardh,,LC
95,Melilotus italicus (L.) Lam.,Melilotus italicus,Melilotus,Fabaceae,italicus,(L.) Lam.,,LC
96,Melilotus sulcatus Desf.,Melilotus sulcatus,Melilotus,Fabaceae,sulcatus,Desf.,,Not assessed
97,Trifolium angustifolium L.,Trifolium angustifolium,Trifolium,Fabaceae,angustifolium,L.,,LC
98,Trifolium arvense L.,Trifolium arvense,Trifolium,Fabaceae,arvense,L.,,LC
99,Trifolium aureum Pollich,Trifolium aureum,Trifolium,Fabaceae,aureum,Pollich,,Not assessed
100,Trifolium campestre Schreb.,Trifolium campestre,Trifolium,Fabaceae,campestre,Schreb.,,Not assessed
101,Trifolium cherleri L.,Trifolium cherleri,Trifolium,Fabaceae,cherleri,L.,,Not assessed
102,Trifolium hirtum All.,Trifolium hirtum,Trifolium,Fabaceae,hirtum,All.,,Not assessed
103,Trifolium hybridum L.,Trifolium hybridum,Trifolium,Fabaceae,hybridum,L.,,LC
104,Trifolium incarnatum L.,Trifolium incarnatum,Trifolium,Fabaceae,incarnatum,L.,,LC
105,Trifolium lappaceum L.,Trifolium lappaceum,Trifolium,Fabaceae,lappaceum,L.,,Not assessed
106,Trifolium michelianum Savi,Trifolium michelianum,Trifolium,Fabaceae,michelianum,Savi,,Not assessed
107,Trifolium micranthum Viv.,Trifolium micranthum,Trifolium,Fabaceae,micranthum,Viv.,,Not assessed
108,Trifolium montanum L.,Trifolium montanum,Trifolium,Fabaceae,montanum,L.,,Not assessed
109,Trifolium ochroleucon Huds.,Trifolium ochroleucon,Trifolium,Fabaceae,ochroleucon,Huds.,,Not assessed
110,Trifolium pannonicum Jacq.,Trifolium pannonicum,Trifolium,Fabaceae,pannonicum,Jacq.,,Not assessed
111,Trifolium patens Schreb.,Trifolium patens,Trifolium,Fabaceae,patens,Schreb.,,Not assessed
112,Trifolium pratense L.,Trifolium pratense,Trifolium,Fabaceae,pratense,L.,,LC
113,Trifolium purpureum Loisel.,Trifolium purpureum,Trifolium,Fabaceae,purpureum,Loisel.,,Not assessed
114,Trifolium resupinatum L.,Trifolium resupinatum,Trifolium,Fabaceae,resupinatum,L.,,LC
115,Trifolium scabrum L.,Trifolium scabrum,Trifolium,Fabaceae,scabrum,L.,,LC
116,Trifolium spumosum L.,Trifolium spumosum,Trifolium,Fabaceae,spumosum,L.,,Not assessed
117,Trifolium squamosum L.,Trifolium squamosum,Trifolium,Fabaceae,squamosum,L.,,Not assessed
118,Trifolium stellatum L.,Trifolium stellatum,Trifolium,Fabaceae,stellatum,L.,,Not assessed
119,Trifolium striatum L.,Trifolium striatum,Trifolium,Fabaceae,striatum,L.,,Not assessed
120,Trifolium subterraneum L.,Trifolium subterraneum,Trifolium,Fabaceae,subterraneum,L.,,LC
121,Trifolium tomentosum L.,Trifolium tomentosum,Trifolium,Fabaceae,tomentosum,L.,,Not assessed
122,Punica granatum L.,Punica granatum,Punica,Lythraceae,granatum,L.,,LC
123,Alcea rosea L.,Alcea rosea,Alcea,Malvaceae,rosea,L.,,Not assessed
124,Althaea cannabina L.,Althaea cannabina,Althaea,Malvaceae,cannabina,L.,,Not assessed
125,Althaea officinalis L.,Althaea officinalis,Althaea,Malvaceae,officinalis,L.,,LC
126,Nymphaea alba L.,Nymphaea alba,Nymphaea,Nymphaeaceae,alba,L.,,LC
127,Hunnemannia fumariifolia Sweet,Hunnemannia fumariifolia,Hunnemannia,Papaveraceae,fumariifolia,Sweet,,Not assessed
128,Papaver atlanticum (Ball) Coss.,Papaver atlanticum,Papaver,Papaveraceae,atlanticum,(Ball) Coss.,,Not assessed
129,Papaver rupifragum Boiss. & Reut.,Papaver rupifragum,Papaver,Papaveraceae,rupifragum,Boiss. & Reut.,,Not assessed
130,Goniolimon tataricum (L.) Boiss.,Goniolimon tataricum,Goniolimon,Plumbaginaceae,tataricum,(L.) Boiss.,,Not assessed
131,Adonis aestivalis L.,Adonis aestivalis,Adonis,Ranunculaceae,aestivalis,L.,,Not assessed
132,Adonis annua L.,Adonis annua,Adonis,Ranunculaceae,annua,L.,,Not assessed
133,Adonis flammea Jacq.,Adonis flammea,Adonis,Ranunculaceae,flammea,Jacq.,,Not assessed
134,Adonis microcarpa DC.,Adonis microcarpa,Adonis,Ranunculaceae,microcarpa,DC.,,Not assessed
135,Anemone coronaria L.,Anemone coronaria,Anemone,Ranunculaceae,coronaria,L.,,Not assessed
136,Anemone palmata L.,Anemone palmata,Anemone,Ranunculaceae,palmata,L.,,Not assessed
137,Oldenlandia corymbosa L.,Oldenlandia corymbosa,Oldenlandia,Rubiaceae,corymbosa,L.,,Not assessed
138,Hyoscyamus albus L.,Hyoscyamus albus,Hyoscyamus,Solanaceae,albus,L.,,Not assessed
139,Hyoscyamus niger L.,Hyoscyamus niger,Hyoscyamus,Solanaceae,niger,L.,,Not assessed
140,Daphne gnidium L.,Daphne gnidium,Daphne,Thymelaeaceae,gnidium,L.,,Not assessed
141,Daphne laureola L.,Daphne laureola,Daphne,Thymelaeaceae,laureola,L.,,LC
142,Daphne oleoides Schreb.,Daphne oleoides,Daphne,Thymelaeaceae,oleoides,Schreb.,,Not assessed
143,Berula erecta (Huds.) Coville,Berula erecta,Berula,Apiaceae,erecta,(Huds.) Coville,,LC
144,Chaerophyllum temulum L.,Chaerophyllum temulum,Chaerophyllum,Apiaceae,temulum,L.,,Not assessed
145,Daucus muricatus (L.) L.,Daucus muricatus,Daucus,Apiaceae,muricatus,(L.) L.,,LC
146,Meum athamanticum Jacq.,Meum athamanticum,Meum,Apiaceae,athamanticum,Jacq.,,Not assessed
147,Thapsia garganica L.,Thapsia garganica,Thapsia,Apiaceae,garganica,L.,,Not assessed
148,Thapsia villosa L.,Thapsia villosa,Thapsia,Apiaceae,villosa,L.,,Not assessed
149,Valeriana calcitrapae L.,Valeriana calcitrapae,Valeriana,Caprifoliaceae,calcitrapae,L.,,Not assessed
150,Valeriana cornucopiae L.,Valeriana cornucopiae,Valeriana,Caprifoliaceae,cornucopiae,L.,,Not assessed
151,Pancratium canariense Ker Gawl.,Pancratium canariense,Pancratium,Amaryllidaceae,canariense,Ker Gawl.,,Not assessed
152,Pancratium maritimum L.,Pancratium maritimum,Pancratium,Amaryllidaceae,maritimum,L.,,LC
153,Anthericum liliago L.,Anthericum liliago,Anthericum,Asparagaceae,liliago,L.,,Not assessed
154,Butomus umbellatus L.,Butomus umbellatus,Butomus,Butomaceae,umbellatus,L.,,LC
155,Danthonia decumbens (L.) DC.,Danthonia decumbens,Danthonia,Poaceae,decumbens,(L.) DC.,,Not assessed
156,Leersia oryzoides (L.) Sw.,Leersia oryzoides,Leersia,Poaceae,oryzoides,(L.) Sw.,,LC
157,Phalaris coerulescens Desf.,Phalaris coerulescens,Phalaris,Poaceae,coerulescens,Desf.,,LC
158,Scilla peruviana L.,Scilla peruviana,Scilla,Asparagaceae,elongata,L.,,Not assessed
159,Elodea canadensis Michx.,Elodea canadensis,Elodea,Hydrocharitaceae,canadensis,Michx.,,LC
160,Neotinea maculata (Desf.) Stearn,Neotinea maculata,Neotinea,Orchidaceae,maculata,(Desf.) Stearn,,LC
161,Ophrys apifera Huds.,Ophrys apifera,Ophrys,Orchidaceae,apifera,Huds.,,LC
162,Ophrys bombyliflora Link,Ophrys bombyliflora,Ophrys,Orchidaceae,bombyliflora,Link,,LC
163,Ophrys fusca Link,Ophrys fusca,Ophrys,Orchidaceae,fusca,Link,,LC
164,Ophrys lutea Cav.,Ophrys lutea,Ophrys,Orchidaceae,lutea,Cav.,,LC
165,Ophrys scolopax Cav.,Ophrys scolopax,Ophrys,Orchidaceae,scolopax,Cav.,,LC
166,Ophrys speculum Link,Ophrys speculum,Ophrys,Orchidaceae,speculum,Link,,LC
167,Ophrys tenthredinifera Willd.,Ophrys tenthredinifera,Ophrys,Orchidaceae,tenthredinifera,Willd.,,LC
168,Groenlandia densa (L.) Fourr.,Groenlandia densa,Groenlandia,Potamogetonaceae,densa,(L.) Fourr.,,LC
169,Stellaria aquatica (L.) Scop.,Stellaria aquatica,Stellaria,Caryophyllaceae,aquaticum,(L.) Scop.,,Not assessed
170,Cirsium palustre (L.) Scop.,Cirsium palustre,Cirsium,Asteraceae,palustre,(L.) Scop.,,Not assessed
171,Lamium galeobdolon (L.) L.,Lamium galeobdolon,Lamium,Lamiaceae,galeobdolon,(L.) L.,,Not assessed
172,Lavandula angustifolia Mill.,Lavandula angustifolia,Lavandula,Lamiaceae,angustifolia,Mill.,,LC
173,Casuarina cunninghamiana Miq.,Casuarina cunninghamiana,Casuarina,Casuarinaceae,cunninghamiana,Miq.,,LC
174,Trifolium rubens L.,Trifolium rubens,Trifolium,Fabaceae,rubens,L.,,Not assessed
175,Falcaria vulgaris Bernh.,Falcaria vulgaris,Falcaria,Apiaceae,vulgaris,Bernh.,,Not assessed
176,Hypericum triquetrifolium Turra,Hypericum triquetrifolium,Hypericum,Hypericaceae,triquetrifolium,Turra,,Not assessed
177,Wigandia urens (Ruiz & Pav.) Kunth,Wigandia urens,Wigandia,Namaceae,caracasana,(Ruiz & Pav.) Kunth,,Not assessed
178,Nymphaea lotus L.,Nymphaea lotus,Nymphaea,Nymphaeaceae,lotus,L.,,LC
179,Sedum villosum L.,Sedum villosum,Sedum,Crassulaceae,villosum,L.,,Not assessed
180,Epipactis helleborine (L.) Crantz,Epipactis helleborine,Epipactis,Orchidaceae,helleborine,(L.) Crantz,,LC
181,Thesium humifusum DC.,Thesium humifusum,Thesium,Thesiaceae,humifusum,DC.,,Not assessed
182,Vachellia etbaica (Schweinf.) Kyal. & Boatwr.,Vachellia etbaica,Vachellia,Fabaceae,etbaica,(Schweinf.) Kyal. & Boatwr.,,LC
183,Valeriana angustifolia Mill.,Valeriana angustifolia,Valeriana,Caprifoliaceae,angustifolius,Mill.,,Not assessed
184,Valeriana lecoqii (Jord.) Christenh. & Byng,Valeriana lecoqii,Valeriana,Caprifoliaceae,lecoqii,(Jord.) Christenh. & Byng,,Not assessed
185,Sedum anglicum Huds.,Sedum anglicum,Sedum,Crassulaceae,anglicum,Huds.,,Not assessed
186,Petrosedum rupestre (L.) P.V.Heath,Petrosedum rupestre,Petrosedum,Crassulaceae,rupestre,(L.) P.V.Heath,,Not assessed
187,Ophrys insectifera L.,Ophrys insectifera,Ophrys,Orchidaceae,insectifera,L.,,LC
188,Freesia refracta (Jacq.) Klatt,Freesia refracta,Freesia,Iridaceae,refracta,(Jacq.) Klatt,,Not assessed
189,Tuberaria lignosa (Sweet) Samp.,Tuberaria lignosa,Tuberaria,Cistaceae,tuberaria,(Sweet) Samp.,,Not assessed
190,Tradescantia pallida (Rose) D.R.Hunt,Tradescantia pallida,Tradescantia,Commelinaceae,pallida,(Rose) D.R.Hunt,,Not assessed
191,Cenchrus longispinus (Hack.) Fernald,Cenchrus longispinus,Cenchrus,Poaceae,longispinus,(Hack.) Fernald,,Not assessed
192,Heptapleurum actinophyllum (Endl.) Lowry & G.M.Plunkett,Heptapleurum actinophyllum,Heptapleurum,Araliaceae,actinophylla,(Endl.) Lowry & G.M.Plunkett,,Not assessed
193,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Cenchrus clandestinus,Cenchrus,Poaceae,clandestinus,(Hochst. ex Chiov.) Morrone,,LC
194,Cenchrus purpureus (Schumach.) Morrone,Cenchrus purpureus,Cenchrus,Poaceae,purpureus,(Schumach.) Morrone,,LC
195,Cenchrus setaceus (Forssk.) Morrone,Cenchrus setaceus,Cenchrus,Poaceae,setaceus,(Forssk.) Morrone,,LC
196,Anemone hortensis L.,Anemone hortensis,Anemone,Ranunculaceae,hortensis,L.,,Not assessed
197,Tradescantia cerinthoides Kunth,Tradescantia cerinthoides,Tradescantia,Commelinaceae,cerinthoides,Kunth,,Not assessed
198,"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García",Roemeria argemone,Roemeria,Papaveraceae,argemone,"(L.) C.Morales, R.Mend. & Romero García",,Not assessed
199,"Roemeria sicula (Guss.) Galasso, Banfi, L.Sáez & Bartolucci",Roemeria sicula,Roemeria,Papaveraceae,hybridum,"(Guss.) Galasso, Banfi, L.Sáez & Bartolucci",,Not assessed
200,Papaver rhoeas L.,Papaver rhoeas,Papaver,Papaveraceae,rhoeas,L.,,LC
201,Papaver dubium L.,Papaver dubium,Papaver,Papaveraceae,dubium,L.,,Not assessed
202,Papaver somniferum L.,Papaver somniferum,Papaver,Papaveraceae,somniferum,L.,,LC
203,Daucus carota L.,Daucus carota,Daucus,Apiaceae,carota,L.,,LC
204,Smilax aspera L.,Smilax aspera,Smilax,Smilacaceae,aspera,L.,,LC
205,Aizoon canariense L.,Aizoon canariense,Aizoon,Aizoaceae,canariense,L.,,Not assessed
206,Zannichellia palustris L.,Zannichellia palustris,Zannichellia,Potamogetonaceae,palustris,L.,,LC
207,Secale cereale L.,Secale cereale,Secale,Poaceae,cereale,L.,,
208,Cenchrus ciliaris L.,Cenchrus ciliaris,Cenchrus,Poaceae,ciliaris,L.,,LC
209,Cenchrus echinatus L.,Cenchrus echinatus,Cenchrus,Poaceae,echinatus,L.,,LC
210,Phalaris aquatica L.,Phalaris aquatica,Phalaris,Poaceae,aquatica,L.,,LC
211,Phalaris arundinacea L.,Phalaris arundinacea,Phalaris,Poaceae,arundinacea,L.,,LC
212,Phalaris canariensis L.,Phalaris canariensis,Phalaris,Poaceae,canariensis,L.,,Not assessed
213,Phalaris minor Retz.,Phalaris minor,Phalaris,Poaceae,minor,Retz.,,Not assessed
214,Phalaris paradoxa L.,Phalaris paradoxa,Phalaris,Poaceae,paradoxa,L.,,LC
215,Sedum hispanicum L.,Sedum hispanicum,Sedum,Crassulaceae,hispanicum,L.,,Not assessed
216,Crotalaria juncea L.,Crotalaria juncea,Crotalaria,Fabaceae,juncea,L.,,Not assessed
217,Lupinus angustifolius L.,Lupinus angustifolius,Lupinus,Fabaceae,angustifolius,L.,,LC
218,Lupinus luteus L.,Lupinus luteus,Lupinus,Fabaceae,luteus,L.,,LC
219,Lupinus pilosus L.,Lupinus pilosus,Lupinus,Fabaceae,pilosus,L.,,DD
220,Lupinus albus L.,Lupinus albus,Lupinus,Fabaceae,albus,L.,,LC
221,Trifolium alexandrinum L.,Trifolium alexandrinum,Trifolium,Fabaceae,alexandrinum,L.,,
222,Trifolium dubium Sibth.,Trifolium dubium,Trifolium,Fabaceae,dubium,Sibth.,,Not assessed
223,Trifolium glomeratum L.,Trifolium glomeratum,Trifolium,Fabaceae,glomeratum,L.,,Not assessed
224,Trifolium nigrescens Viv.,Trifolium nigrescens,Trifolium,Fabaceae,nigrescens,Viv.,,LC
225,Trifolium repens L.,Trifolium repens,Trifolium,Fabaceae,repens,L.,,LC
226,Dalbergia melanoxylon Guill. & Perr.,Dalbergia melanoxylon,Dalbergia,Fabaceae,melanoxylon,Guill. & Perr.,,NT
227,Melilotus indicus (L.) All.,Melilotus indicus,Melilotus,Fabaceae,indicus,(L.) All.,,Not assessed
228,Melilotus officinalis (L.) Lam.,Melilotus officinalis,Melilotus,Fabaceae,officinalis,(L.) Lam.,,LC
229,Acacia dealbata Link,Acacia dealbata,Acacia,Fabaceae,dealbata,Link,,LC
230,Acacia longifolia (Andrews) Willd.,Acacia longifolia,Acacia,Fabaceae,longifolia,(Andrews) Willd.,,LC
231,Acacia mearnsii De Wild.,Acacia mearnsii,Acacia,Fabaceae,mearnsii,De Wild.,,Not assessed
232,Acacia pycnantha Benth.,Acacia pycnantha,Acacia,Fabaceae,pycnantha,Benth.,,LC
233,Acacia retinodes Schltdl.,Acacia retinodes,Acacia,Fabaceae,retinodes,Schltdl.,,Not assessed
234,Barbarea verna (Mill.) Asch.,Barbarea verna,Barbarea,Brassicaceae,verna,(Mill.) Asch.,,DD
235,Barbarea intermedia Boreau,Barbarea intermedia,Barbarea,Brassicaceae,intermedia,Boreau,,DD
236,Ranunculus minimus (L.) E.H.L.Krause,Ranunculus minimus,Ranunculus,Ranunculaceae,minimus,(L.) E.H.L.Krause,,Not assessed
237,Fragaria vesca L.,Fragaria vesca,Fragaria,Rosaceae,vesca,L.,,LC
238,Potentilla indica (Andrews) Th.Wolf,Potentilla indica,Potentilla,Rosaceae,indica,(Andrews) Th.Wolf,,Not assessed
239,Valeriana rubra L.,Valeriana rubra,Valeriana,Caprifoliaceae,ruber,L.,,Not assessed
