scientific_name,source,matched_status,notes
Lavandula dentata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Conostomium longitubum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Conostomium quadrangulare,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pelargonium alchemilloides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pelargonium quinquelobatum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pelargonium glechomoides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Gynura procumbens,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aspilia mossambicensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aspilia pluriseta,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Acalypha crenata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Phyllanthus fischeri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Phyllanthus suffrutescens,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum annulatum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Boscia mossambicensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Boscia coriacea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aristea abyssinica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aristea ecklonii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Erianthemum dregei,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lagenaria sphaerica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Asystasia riparia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Asystasia charmian,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Zamioculcas zamiifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Kniphofia linearifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Smilax anceps,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ansellia africana,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum balearicum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys holosericea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Odontites longiflorus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cicerbita plumieri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aizoanthemopsis hispanica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cereus jamacaru,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum pachyphyllum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Atocion rupestre,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Patzkea paniculata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Salvia abrotanoides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Carthamus carduncellus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Carthamus mitissimus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Chaerophyllum aureum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Chaerophyllum hirsutum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Chaerophyllum villarsii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium alsophilum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium dissectum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lophiolepis eriophora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium erisithales,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lophiolepis ferox,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium glabrum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lophiolepis morisiana,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium oleraceum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium rivulare,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium tuberosum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cymbalaria aequitriloba,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cymbalaria hepaticifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cytinus hypocistis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cytinus ruber,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Daphne alpina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Daphne striata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cleretum bellidiforme,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Dryopteris villarii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Epipactis leptochila,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Epipactis microphylla,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Epipactis muelleri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Epipactis phyllanthes,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Epipactis purpurata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Valeriana graciliflora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Fragaria moschata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Freesia x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Galega orientalis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Geropogon hybridus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Gomphocarpus fruticosus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Veronica brachysiphon,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Veronica ochracea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Veronica salicifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Helicodiceros muscivorus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum elodes,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum nummularium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum richeri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Dierama pulcherrimum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Euphrosyne xanthiifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cicerbita alpina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cicerbita macrophylla,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lactuca viminea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lathraea clandestina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lathraea squamaria,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lavandula x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lupinus x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Mercurialis tomentosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Moehringia ciliata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Moehringia muscosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Moehringia pentandra,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neotinea lactea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neotinea ustulata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Noccaea caerulescens,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Noccaea rotundifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Nymphaea candida,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys sphegodes,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys bertolonii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Eriocapitella x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pulsatilla alpina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pancratium illyricum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemonoides apennina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemonoides baldensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Oreomecon alpina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Oreomecon crocea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Papaver setiferum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pulsatilla halleri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pelargonium x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pulsatilla montana,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemonoides nemorosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pulsatilla rubra,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Phedimus stellatus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemonoides sylvestris,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemonoides trifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pulsatilla vernalis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Angelica heterocarpa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Angelica razulii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pleurospermum austriacum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anthericum ramosum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Diascia rigescens,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Diascia vigilis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum alpestre,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Phedimus kamtschaticus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Petrosedum ochroleucum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Telekia speciosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Thesium alpinum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Tradescantia x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Eriocapitella hupehensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Eriocapitella vitifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Adenostyles alpina,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Alcea biennis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cirsium acaulon,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Fragaria viridis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum hyssopifolium,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lactuca perennis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum atratum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Thesium pyrenaicum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Trinia glauca,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Petrosedum montanum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Freesia leichtlinii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cobaea scandens,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pulsatilla pratensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neotinea tridentata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Adenostyles alliariae,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sedum palmeri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum olympicum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Dryopteris erythrosora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Adenostyles leucophylla,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anemonoides blanda,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Salvia yangii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Nothofagus antarctica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Neotinea conica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Alcea setosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Daphne sericea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lamium orvala,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Paederota bonarota,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Rhodothamnus chamaecistus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Ophrys lunulata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Astydamia latifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Lavandula pinnata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Acacia pravissima,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Adonis pyrenaica,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Barbarea rupicola,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Acacia baileyana,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Bellium bellidioides,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Bocoa prouacensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Guatteria anteridifera,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Caraipa densifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Caraipa punctulata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Vismia cayennensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Vismia macrophylla,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Vismia sessilifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Xylopia nitida,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Xylopia sericea,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Pogonophora schomburgkiana,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Sagotia racemosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Tabernaemontana undulata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Guarea gomma,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anthurium hookeri,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anthurium jenmanii,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Peperomia quadrangularis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Declieuxia fruticosa,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Leuenbergeria bleo,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Xylopia crinita,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aciotis rubricaulis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Guatteria amplifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Didymopanax decaphyllus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Aphelandra scabra,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Guatteria citriodora,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Guatteria punctata,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Anthurium crystallinum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Cryptopus elatus,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Alocasia longiloba,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Faujasia salicifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Fernelia buxifolia,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Fragaria x,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Geniostoma borbonicum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hernandia mascarenensis,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
Hypericum lanceolatum,image_manifest,unmatched_usda_plants,No exact USDA PLANTS match; not guessed.
