scientific_name,taxon_id,dataset,image_count,role
Caraipa densifolia,,plantnet300k-v2,6,pretraining_only
Caraipa punctulata,,plantnet300k-v2,4,pretraining_only
Carex punicea,,plantnet300k-v2,4,pretraining_only
Carthamus caeruleus,,plantnet300k-v2,13,pretraining_only
Carthamus carduncellus,,plantnet300k-v2,52,pretraining_only
Carthamus mitissimus,,plantnet300k-v2,82,pretraining_only
Carthamus tinctorius,,plantnet300k-v2,232,pretraining_only
Casuarina cunninghamiana,,plantnet300k-v2,305,pretraining_only
Casuarina equisetifolia,,plantnet300k-v2,123,pretraining_only
Cedrela fissilis,,plantnet300k-v2,4,pretraining_only
Cedrela odorata,,plantnet300k-v2,25,pretraining_only
Cenchrus ciliaris,,plantnet300k-v2,46,pretraining_only
Cenchrus clandestinus,,plantnet300k-v2,4,pretraining_only
Cenchrus echinatus,,plantnet300k-v2,12,pretraining_only
Cenchrus longisetus,,plantnet300k-v2,61,pretraining_only
Cenchrus longispinus,,plantnet300k-v2,12,pretraining_only
Cenchrus purpureus,,plantnet300k-v2,26,pretraining_only
Cenchrus setaceus,,plantnet300k-v2,387,pretraining_only
Cephalocereus polylophus,,plantnet300k-v2,11,pretraining_only
Cerbera manghas,,plantnet300k-v2,26,pretraining_only
Cereus forbesii,,plantnet300k-v2,27,pretraining_only
Cereus hexagonus,,plantnet300k-v2,139,pretraining_only
Cereus hildmannianus,,plantnet300k-v2,29,pretraining_only
Cereus jamacaru,,plantnet300k-v2,287,pretraining_only
Cereus repandus,,plantnet300k-v2,114,pretraining_only
Chaerophyllum aromaticum,,plantnet300k-v2,4,pretraining_only
Chaerophyllum aureum,,plantnet300k-v2,86,pretraining_only
Chaerophyllum bulbosum,,plantnet300k-v2,64,pretraining_only
Chaerophyllum hirsutum,,plantnet300k-v2,290,pretraining_only
Chaerophyllum tainturieri,,plantnet300k-v2,15,pretraining_only
Chaerophyllum temulum,,plantnet300k-v2,993,pretraining_only
Chaerophyllum villarsii,,plantnet300k-v2,26,pretraining_only
Cicerbita alpina,,plantnet300k-v2,440,pretraining_only
Cicerbita macrophylla,,plantnet300k-v2,9,pretraining_only
Cicerbita plumieri,,plantnet300k-v2,221,pretraining_only
Cirsium acaulon,,plantnet300k-v2,327,pretraining_only
Cirsium alsophilum,,plantnet300k-v2,11,pretraining_only
Cirsium altissimum,,plantnet300k-v2,33,pretraining_only
Cirsium arvense,,plantnet300k-v2,4275,pretraining_only
Cirsium canum,,plantnet300k-v2,14,pretraining_only
Cirsium discolor,,plantnet300k-v2,19,pretraining_only
Cirsium dissectum,,plantnet300k-v2,30,pretraining_only
Cirsium erisithales,,plantnet300k-v2,142,pretraining_only
Cirsium filipendulum,,plantnet300k-v2,6,pretraining_only
Cirsium foliosum,,plantnet300k-v2,8,pretraining_only
Cirsium glabrum,,plantnet300k-v2,4,pretraining_only
Cirsium heterophyllum,,plantnet300k-v2,225,pretraining_only
Cirsium horridulum,,plantnet300k-v2,24,pretraining_only
Cirsium monspessulanum,,plantnet300k-v2,112,pretraining_only
Cirsium muticum,,plantnet300k-v2,8,pretraining_only
Cirsium oleraceum,,plantnet300k-v2,853,pretraining_only
Cirsium palustre,,plantnet300k-v2,1045,pretraining_only
Cirsium rivulare,,plantnet300k-v2,127,pretraining_only
Cirsium spinosissimum,,plantnet300k-v2,273,pretraining_only
Cirsium texanum,,plantnet300k-v2,38,pretraining_only
Cirsium tuberosum,,plantnet300k-v2,58,pretraining_only
Cirsium undulatum,,plantnet300k-v2,10,pretraining_only
Cirsium vulgare,,plantnet300k-v2,6472,pretraining_only
Cleretum bellidiforme,,plantnet300k-v2,44,pretraining_only
Clethra alnifolia,,plantnet300k-v2,151,pretraining_only
Cobaea scandens,,plantnet300k-v2,78,pretraining_only
Collomia grandiflora,,plantnet300k-v2,44,pretraining_only
Comptonia peregrina,,plantnet300k-v2,22,pretraining_only
Conoclinium coelestinum,,plantnet300k-v2,181,pretraining_only
Conostomium longitubum,,plantnet300k-v2,11,pretraining_only
Conostomium quadrangulare,,plantnet300k-v2,16,pretraining_only
Cordyla africana,,plantnet300k-v2,6,pretraining_only
Corispermum pallasii,,plantnet300k-v2,8,pretraining_only
Coryphantha elephantidens,,plantnet300k-v2,4,pretraining_only
Couroupita guianensis,,plantnet300k-v2,251,pretraining_only
Coussapoa villosa,,plantnet300k-v2,4,pretraining_only
Crassothonna capensis,,plantnet300k-v2,99,pretraining_only
Crotalaria brevidens,,plantnet300k-v2,8,pretraining_only
Crotalaria chrysochlora,,plantnet300k-v2,7,pretraining_only
Crotalaria deflersii,,plantnet300k-v2,6,pretraining_only
Crotalaria incana,,plantnet300k-v2,15,pretraining_only
Crotalaria juncea,,plantnet300k-v2,25,pretraining_only
Crotalaria laburnifolia,,plantnet300k-v2,25,pretraining_only
Crotalaria pallida,,plantnet300k-v2,45,pretraining_only
Crotalaria polysperma,,plantnet300k-v2,30,pretraining_only
Crotalaria pumila,,plantnet300k-v2,6,pretraining_only
Crotalaria retusa,,plantnet300k-v2,81,pretraining_only
Crotalaria spectabilis,,plantnet300k-v2,7,pretraining_only
Crotalaria uguenensis,,plantnet300k-v2,6,pretraining_only
Crotalaria verrucosa,,plantnet300k-v2,7,pretraining_only
Cryptopus elatus,,plantnet300k-v2,4,pretraining_only
Cryptostegia grandiflora,,plantnet300k-v2,4,pretraining_only
Cryptostegia madagascariensis,,plantnet300k-v2,43,pretraining_only
Cucumis melo,,plantnet300k-v2,22,pretraining_only
Cucurbita ficifolia,,plantnet300k-v2,7,pretraining_only
Cucurbita foetidissima,,plantnet300k-v2,20,pretraining_only
Cucurbita maxima,,plantnet300k-v2,1113,pretraining_only
Cucurbita moschata,,plantnet300k-v2,407,pretraining_only
Cucurbita pepo,,plantnet300k-v2,1800,pretraining_only
Cyanotis somaliensis,,plantnet300k-v2,72,pretraining_only
Cymbalaria aequitriloba,,plantnet300k-v2,15,pretraining_only
Cymbalaria hepaticifolia,,plantnet300k-v2,4,pretraining_only
Cymbalaria muralis,,plantnet300k-v2,3386,pretraining_only
Cyphostemma cyphopetalum,,plantnet300k-v2,10,pretraining_only
Cyphostemma juttae,,plantnet300k-v2,11,pretraining_only
Cyphostemma serpens,,plantnet300k-v2,25,pretraining_only
Cyrtanthus elatus,,plantnet300k-v2,15,pretraining_only
Cytinus hypocistis,,plantnet300k-v2,171,pretraining_only
Cytinus ruber,,plantnet300k-v2,104,pretraining_only
Dalbergia latifolia,,plantnet300k-v2,7,pretraining_only
Dalbergia melanoxylon,,plantnet300k-v2,10,pretraining_only
Dalbergia retusa,,plantnet300k-v2,8,pretraining_only
Dalbergia sissoo,,plantnet300k-v2,5,pretraining_only
Dalea purpurea,,plantnet300k-v2,39,pretraining_only
Danthonia decumbens,,plantnet300k-v2,6,pretraining_only
Daphne alpina,,plantnet300k-v2,79,pretraining_only
Daphne cneorum,,plantnet300k-v2,226,pretraining_only
Daphne gnidium,,plantnet300k-v2,914,pretraining_only
Daphne laureola,,plantnet300k-v2,827,pretraining_only
Daphne mezereum,,plantnet300k-v2,916,pretraining_only
Daphne odora,,plantnet300k-v2,61,pretraining_only
Daphne oleoides,,plantnet300k-v2,5,pretraining_only
Daphne sericea,,plantnet300k-v2,14,pretraining_only
Daphne striata,,plantnet300k-v2,39,pretraining_only
Daphne tangutica,,plantnet300k-v2,13,pretraining_only
Daucus muricatus,,plantnet300k-v2,6,pretraining_only
Daucus pusillus,,plantnet300k-v2,21,pretraining_only
Declieuxia fruticosa,,plantnet300k-v2,4,pretraining_only
Dendrobium anosmum,,plantnet300k-v2,15,pretraining_only
Dendrobium aphyllum,,plantnet300k-v2,8,pretraining_only
Dendrobium chrysotoxum,,plantnet300k-v2,10,pretraining_only
Dendrobium closterium,,plantnet300k-v2,16,pretraining_only
Dendrobium crumenatum,,plantnet300k-v2,17,pretraining_only
Dendrobium kingianum,,plantnet300k-v2,4,pretraining_only
Dendrobium moschatum,,plantnet300k-v2,8,pretraining_only
Dendrobium munificum,,plantnet300k-v2,7,pretraining_only
Dendrobium nobile,,plantnet300k-v2,616,pretraining_only
Dendrobium spp.,,plantnet300k-v2,20,pretraining_only
Dendrobium thyrsiflorum,,plantnet300k-v2,12,pretraining_only
Dendrobium victoriae-reginae,,plantnet300k-v2,79,pretraining_only
Diascia rigescens,,plantnet300k-v2,137,pretraining_only
Diascia vigilis,,plantnet300k-v2,4,pretraining_only
Didymopanax decaphyllus,,plantnet300k-v2,11,pretraining_only
Didymopanax morototoni,,plantnet300k-v2,5,pretraining_only
Dierama pulcherrimum,,plantnet300k-v2,48,pretraining_only
Diervilla lonicera,,plantnet300k-v2,79,pretraining_only
Diervilla sessilifolia,,plantnet300k-v2,9,pretraining_only
Dischidia nummularia,,plantnet300k-v2,16,pretraining_only
Dischidia ovata,,plantnet300k-v2,7,pretraining_only
Dracontium polyphyllum,,plantnet300k-v2,4,pretraining_only
Dracophyllum verticillatum,,plantnet300k-v2,6,pretraining_only
Dryas octopetala,,plantnet300k-v2,413,pretraining_only
Dryopteris aemula,,plantnet300k-v2,13,pretraining_only
Dryopteris affinis,,plantnet300k-v2,48,pretraining_only
Dryopteris carthusiana,,plantnet300k-v2,54,pretraining_only
Dryopteris cristata,,plantnet300k-v2,36,pretraining_only
Dryopteris cycadina,,plantnet300k-v2,5,pretraining_only
Dryopteris dilatata,,plantnet300k-v2,33,pretraining_only
Dryopteris erythrosora,,plantnet300k-v2,58,pretraining_only
Dryopteris expansa,,plantnet300k-v2,18,pretraining_only
Dryopteris filix-mas,,plantnet300k-v2,1291,pretraining_only
Dryopteris fragrans,,plantnet300k-v2,17,pretraining_only
Dryopteris intermedia,,plantnet300k-v2,66,pretraining_only
Dryopteris marginalis,,plantnet300k-v2,33,pretraining_only
Dryopteris sieboldii,,plantnet300k-v2,4,pretraining_only
Dryopteris villarii,,plantnet300k-v2,18,pretraining_only
Dryopteris wallichiana,,plantnet300k-v2,6,pretraining_only
Dubouzetia campanulata,,plantnet300k-v2,4,pretraining_only
Dubouzetia confusa,,plantnet300k-v2,4,pretraining_only
Elephantopus elatus,,plantnet300k-v2,30,pretraining_only
Elodea canadensis,,plantnet300k-v2,29,pretraining_only
Elodea densa,,plantnet300k-v2,21,pretraining_only
Empetrum nigrum,,plantnet300k-v2,213,pretraining_only
Empetrum rubrum,,plantnet300k-v2,6,pretraining_only
Entada gigas,,plantnet300k-v2,5,pretraining_only
Entada phaseoloides,,plantnet300k-v2,5,pretraining_only
Epilobium latifolium,,plantnet300k-v2,7,pretraining_only
Epipactis atrorubens,,plantnet300k-v2,444,pretraining_only
Epipactis gigantea,,plantnet300k-v2,4,pretraining_only
Epipactis helleborine,,plantnet300k-v2,1168,pretraining_only
Epipactis leptochila,,plantnet300k-v2,24,pretraining_only
Epipactis microphylla,,plantnet300k-v2,19,pretraining_only
Epipactis muelleri,,plantnet300k-v2,27,pretraining_only
Epipactis palustris,,plantnet300k-v2,307,pretraining_only
Epipactis phyllanthes,,plantnet300k-v2,6,pretraining_only
Epipactis purpurata,,plantnet300k-v2,27,pretraining_only
Eranthemum pulchellum,,plantnet300k-v2,13,pretraining_only
Erechtites hieraciifolius,,plantnet300k-v2,225,pretraining_only
Erianthemum dregei,,plantnet300k-v2,5,pretraining_only
Eriocapitella hupehensis,,plantnet300k-v2,2749,pretraining_only
Eriocapitella tomentosa,,plantnet300k-v2,36,pretraining_only
Eriocapitella vitifolia,,plantnet300k-v2,8,pretraining_only
Eriocapitella × hybrida,,plantnet300k-v2,29,pretraining_only
Eritrichium nanum,,plantnet300k-v2,33,pretraining_only
Erucastrum gallicum,,plantnet300k-v2,46,pretraining_only
Erucastrum nasturtiifolium,,plantnet300k-v2,98,pretraining_only
Erycina pusilla,,plantnet300k-v2,9,pretraining_only
Eucryphia cordifolia,,plantnet300k-v2,20,pretraining_only
Eumachia haematocarpa,,plantnet300k-v2,4,pretraining_only
Euphrosyne xanthiifolia,,plantnet300k-v2,14,pretraining_only
Falcaria vulgaris,,plantnet300k-v2,157,pretraining_only
Falcataria falcata,,plantnet300k-v2,8,pretraining_only
Faujasia salicifolia,,plantnet300k-v2,13,pretraining_only
Fernelia buxifolia,,plantnet300k-v2,7,pretraining_only
Fibigia clypeata,,plantnet300k-v2,27,pretraining_only
Fittonia albivenis,,plantnet300k-v2,1358,pretraining_only
Fragaria chiloensis,,plantnet300k-v2,81,pretraining_only
Fragaria moschata,,plantnet300k-v2,86,pretraining_only
Fragaria vesca,,plantnet300k-v2,4826,pretraining_only
Fragaria viridis,,plantnet300k-v2,319,pretraining_only
Fragaria × ananassa,,plantnet300k-v2,343,pretraining_only
Freesia leichtlinii,,plantnet300k-v2,135,pretraining_only
Freesia refracta,,plantnet300k-v2,266,pretraining_only
Freesia × kewensis,,plantnet300k-v2,61,pretraining_only
Freycinetia cumingiana,,plantnet300k-v2,4,pretraining_only
Galega officinalis,,plantnet300k-v2,536,pretraining_only
Galega orientalis,,plantnet300k-v2,13,pretraining_only
Garrya elliptica,,plantnet300k-v2,50,pretraining_only
Geniostoma borbonicum,,plantnet300k-v2,11,pretraining_only
Geropogon hybridus,,plantnet300k-v2,49,pretraining_only
Gomphocarpus fruticosus,,plantnet300k-v2,82,pretraining_only
Gomphocarpus integer,,plantnet300k-v2,21,pretraining_only
Gomphocarpus physocarpus,,plantnet300k-v2,275,pretraining_only
Goniolimon tataricum,,plantnet300k-v2,7,pretraining_only
Groenlandia densa,,plantnet300k-v2,14,pretraining_only
Guaiacum officinale,,plantnet300k-v2,21,pretraining_only
Guaiacum sanctum,,plantnet300k-v2,12,pretraining_only
Guarea gomma,,plantnet300k-v2,9,pretraining_only
Guatteria aeruginosa,,plantnet300k-v2,8,pretraining_only
Guatteria amplifolia,,plantnet300k-v2,4,pretraining_only
Guatteria anteridifera,,plantnet300k-v2,7,pretraining_only
Guatteria citriodora,,plantnet300k-v2,6,pretraining_only
Guatteria dolichopoda,,plantnet300k-v2,5,pretraining_only
Guatteria punctata,,plantnet300k-v2,5,pretraining_only
Guizotia abyssinica,,plantnet300k-v2,125,pretraining_only
Gymnosporia putterlickioides,,plantnet300k-v2,60,pretraining_only
Gynura aurantiaca,,plantnet300k-v2,177,pretraining_only
Gynura procumbens,,plantnet300k-v2,16,pretraining_only
Gypsophila vaccaria,,plantnet300k-v2,366,pretraining_only
Hackelia velutina,,plantnet300k-v2,21,pretraining_only
Haplophyton crooksii,,plantnet300k-v2,9,pretraining_only
Harpachne schimperi,,plantnet300k-v2,27,pretraining_only
Helicodiceros muscivorus,,plantnet300k-v2,9,pretraining_only
Helminthotheca echioides,,plantnet300k-v2,1614,pretraining_only
Hepatica nobilis,,plantnet300k-v2,2439,pretraining_only
Heptapleurum actinophyllum,,plantnet300k-v2,953,pretraining_only
Heptapleurum arboricola,,plantnet300k-v2,1974,pretraining_only
Heptapleurum heptaphyllum,,plantnet300k-v2,8,pretraining_only
Herbertia lahue,,plantnet300k-v2,27,pretraining_only
Hernandia cordigera,,plantnet300k-v2,4,pretraining_only
Hernandia mascarenensis,,plantnet300k-v2,6,pretraining_only
Hernandia nymphaeifolia,,plantnet300k-v2,4,pretraining_only
Heteromorpha arborescens,,plantnet300k-v2,4,pretraining_only
Hippophae rhamnoides,,plantnet300k-v2,526,pretraining_only
Hirschfeldia incana,,plantnet300k-v2,272,pretraining_only
Holodiscus discolor,,plantnet300k-v2,150,pretraining_only
Honckenya peploides,,plantnet300k-v2,243,pretraining_only
Humulus lupulus,,plantnet300k-v2,2511,pretraining_only
Hunnemannia fumariifolia,,plantnet300k-v2,7,pretraining_only
Hylotelephium cyaneum,,plantnet300k-v2,6,pretraining_only
Hyoscyamus albus,,plantnet300k-v2,292,pretraining_only
Hyoscyamus niger,,plantnet300k-v2,301,pretraining_only
Hyoseris radiata,,plantnet300k-v2,161,pretraining_only
Hypericum androsaemum,,plantnet300k-v2,1699,pretraining_only
Hypericum annulatum,,plantnet300k-v2,42,pretraining_only
Hypericum australe,,plantnet300k-v2,12,pretraining_only
Hypericum balearicum,,plantnet300k-v2,18,pretraining_only
Hypericum calycinum,,plantnet300k-v2,2429,pretraining_only
Hypericum canariense,,plantnet300k-v2,20,pretraining_only
Hypericum coris,,plantnet300k-v2,8,pretraining_only
Hypericum elodes,,plantnet300k-v2,35,pretraining_only
Hypericum empetrifolium,,plantnet300k-v2,6,pretraining_only
Hypericum frondosum,,plantnet300k-v2,13,pretraining_only
Hypericum hircinum,,plantnet300k-v2,141,pretraining_only
Hypericum hirsutum,,plantnet300k-v2,309,pretraining_only
Hypericum humifusum,,plantnet300k-v2,134,pretraining_only
Hypericum hypericoides,,plantnet300k-v2,34,pretraining_only
Hypericum hyssopifolium,,plantnet300k-v2,5,pretraining_only
Hypericum kalmianum,,plantnet300k-v2,13,pretraining_only
Hypericum lanceolatum,,plantnet300k-v2,62,pretraining_only
Hypericum linariifolium,,plantnet300k-v2,15,pretraining_only
Hypericum maculatum,,plantnet300k-v2,363,pretraining_only
Hypericum montanum,,plantnet300k-v2,55,pretraining_only
Hypericum mutilum,,plantnet300k-v2,10,pretraining_only
Hypericum nummularium,,plantnet300k-v2,41,pretraining_only
Hypericum olympicum,,plantnet300k-v2,47,pretraining_only
Hypericum patulum,,plantnet300k-v2,252,pretraining_only
Hypericum perfoliatum,,plantnet300k-v2,62,pretraining_only
Hypericum perforatum,,plantnet300k-v2,7674,pretraining_only
Hypericum prolificum,,plantnet300k-v2,27,pretraining_only
Hypericum pulchrum,,plantnet300k-v2,93,pretraining_only
Hypericum punctatum,,plantnet300k-v2,22,pretraining_only
Hypericum revolutum,,plantnet300k-v2,5,pretraining_only
Hypericum richeri,,plantnet300k-v2,77,pretraining_only
Hypericum tetrapetalum,,plantnet300k-v2,6,pretraining_only
Hypericum tetrapterum,,plantnet300k-v2,167,pretraining_only
Hypericum tomentosum,,plantnet300k-v2,17,pretraining_only
Hypericum triquetrifolium,,plantnet300k-v2,12,pretraining_only
